"system","n_points","slope_per_nm","slope_se","ci_low","ci_high","p_value"
"conf",3,0.0819583971462234,0.00927147581593294,0.0637863045469948,0.100130489745452,0.071712219303574
"fusion",3,0.0845434860255351,0.0114150306207032,0.0621700260089569,0.106916946042113,0.0854394736749188
"FV",3,-0.0361451555333619,0.0470451356144056,-0.128353621337597,0.0560633102708731,0.582940420777659
"int",2,0.0942600293890779,NA,NA,NA,NA
