"system","n","mean","sd","se"
"fusion",3,120.301269687222,73.6369226528298,42.514297115907
"conf",3,37.2003666232775,23.8746176958918,13.7840169535226
"FV",3,12.4437177106556,11.2186949016433,6.47711652142004
"int",4,17.7891979214705,4.56681976277121,2.28340988138561
