process,param,n_groups,median_best,good_pct,process_label,param_label,median_best_capped,heatmap_label
b,ra,5,18.1279163715876,20,B: burnishing after MF,Ra,18.1279163715876,18.1
b,rq,5,7.98239796856328,60,B: burnishing after MF,Rq,7.98239796856328,8.0
b,rsm,5,99.94999397770181,0,B: burnishing after MF,Rsm,99.94999397770181,100
b,rt,5,13.9872726037818,20,B: burnishing after MF,Rt,13.9872726037818,14.0
b,rv,5,15.6619863021337,40,B: burnishing after MF,Rv,15.6619863021337,15.7
b,rz,5,21.3396374072343,0,B: burnishing after MF,Rz,21.3396374072343,21.3
b,rz1max,5,16.5537868800798,40,B: burnishing after MF,Rz1max,16.5537868800798,16.6
gla,ra,6,4.543627910700395,83.33333333333333,GLA: glass bead blasting,Ra,4.543627910700395,4.5
gla,rq,6,4.311919174912125,100,GLA: glass bead blasting,Rq,4.311919174912125,4.3
gla,rsm,6,99.92480354439705,0,GLA: glass bead blasting,Rsm,99.92480354439705,100
gla,rt,6,3.544398410331725,100,GLA: glass bead blasting,Rt,3.544398410331725,3.5
gla,rv,6,0.8014154235620585,100,GLA: glass bead blasting,Rv,0.8014154235620585,0.8
gla,rz,6,5.17734390364182,100,GLA: glass bead blasting,Rz,5.17734390364182,5.2
gla,rz1max,6,0.8359145200476555,100,GLA: glass bead blasting,Rz1max,0.8359145200476555,0.8
gri,ra,6,13.629043740369049,33.333333333333336,GRI: grinding,Ra,13.629043740369049,13.6
gri,rq,6,11.239610389166149,33.333333333333336,GRI: grinding,Rq,11.239610389166149,11.2
gri,rsm,6,99.9129846361609,0,GRI: grinding,Rsm,99.9129846361609,100
gri,rt,6,8.19257771712114,66.66666666666667,GRI: grinding,Rt,8.19257771712114,8.2
gri,rv,6,1.1993725813118798,66.66666666666667,GRI: grinding,Rv,1.1993725813118798,1.2
gri,rz,6,7.608055606452885,50,GRI: grinding,Rz,7.608055606452885,7.6
gri,rz1max,6,8.87696852931824,50,GRI: grinding,Rz1max,8.87696852931824,8.9
hon,ra,6,4.28118917368445,66.66666666666667,HON: honing,Ra,4.28118917368445,4.3
hon,rq,6,2.207766504046195,83.33333333333333,HON: honing,Rq,2.207766504046195,2.2
hon,rsm,6,99.88651831740276,0,HON: honing,Rsm,99.88651831740276,100
hon,rt,6,4.21866791655394,83.33333333333333,HON: honing,Rt,4.21866791655394,4.2
hon,rv,6,3.7685005123393402,83.33333333333333,HON: honing,Rv,3.7685005123393402,3.8
hon,rz,6,1.17918243884445,100,HON: honing,Rz,1.17918243884445,1.2
hon,rz1max,6,2.48091029486907,83.33333333333333,HON: honing,Rz1max,2.48091029486907,2.5
mf,ra,6,9.029934651677705,50,MF: finish milling,Ra,9.029934651677705,9.0
mf,rq,6,7.55516157604704,50,MF: finish milling,Rq,7.55516157604704,7.6
mf,rsm,6,99.9392156780465,0,MF: finish milling,Rsm,99.9392156780465,100
mf,rt,6,2.09954773619388,83.33333333333333,MF: finish milling,Rt,2.09954773619388,2.1
mf,rv,6,14.36644822617125,50,MF: finish milling,Rv,14.36644822617125,14.4
mf,rz,6,9.144665689916419,50,MF: finish milling,Rz,9.144665689916419,9.1
mf,rz1max,6,1.746970219627211,100,MF: finish milling,Rz1max,1.746970219627211,1.7
mr,ra,6,27.68745040032475,33.333333333333336,MR: rough milling,Ra,27.68745040032475,27.7
mr,rq,6,25.89264642962785,33.333333333333336,MR: rough milling,Rq,25.89264642962785,25.9
mr,rsm,6,99.8918919410633,0,MR: rough milling,Rsm,99.8918919410633,100
mr,rt,6,17.4557100008637,50,MR: rough milling,Rt,17.4557100008637,17.5
mr,rv,6,3.7553219091464953,66.66666666666667,MR: rough milling,Rv,3.7553219091464953,3.8
mr,rz,6,9.81326665021438,50,MR: rough milling,Rz,9.81326665021438,9.8
mr,rz1max,6,18.963707181104233,50,MR: rough milling,Rz1max,18.963707181104233,19.0
tf,ra,6,12.9545320321836,33.333333333333336,TF: finish face turning,Ra,12.9545320321836,13.0
tf,rq,6,11.785266349259684,50,TF: finish face turning,Rq,11.785266349259684,11.8
tf,rsm,6,99.80025946672265,0,TF: finish face turning,Rsm,99.80025946672265,100
