process,param,n_groups,median_best,good_pct,process_label,param_label,median_best_capped,heatmap_label
tf,rt,6,25.366741052895648,33.333333333333336,TF: finish face turning,Rt,25.366741052895648,25.4
tf,rv,6,4.130287010252625,66.66666666666667,TF: finish face turning,Rv,4.130287010252625,4.1
tf,rz,6,16.271934797356565,50,TF: finish face turning,Rz,16.271934797356565,16.3
tf,rz1max,6,24.22565602980765,33.333333333333336,TF: finish face turning,Rz1max,24.22565602980765,24.2
tr,ra,6,52.364467431380945,0,TR: rough face turning,Ra,52.364467431380945,52.4
tr,rq,6,47.04172377659865,16.666666666666668,TR: rough face turning,Rq,47.04172377659865,47.0
tr,rsm,6,99.83795977125266,0,TR: rough face turning,Rsm,99.83795977125266,100
tr,rt,6,8.046843145641219,50,TR: rough face turning,Rt,8.046843145641219,8.0
tr,rv,6,21.1250388211011,33.333333333333336,TR: rough face turning,Rv,21.1250388211011,21.1
tr,rz,6,31.23177599745185,33.333333333333336,TR: rough face turning,Rz,31.23177599745185,31.2
tr,rz1max,6,7.789958543408895,66.66666666666667,TR: rough face turning,Rz1max,7.789958543408895,7.8
wedm_f,ra,6,5.741043172037205,83.33333333333333,WEDM_F: finish wire EDM,Ra,5.741043172037205,5.7
wedm_f,rq,6,4.989567515218405,66.66666666666667,WEDM_F: finish wire EDM,Rq,4.989567515218405,5.0
wedm_f,rsm,6,99.8857604539464,0,WEDM_F: finish wire EDM,Rsm,99.8857604539464,100
wedm_f,rt,6,9.22118266906658,83.33333333333333,WEDM_F: finish wire EDM,Rt,9.22118266906658,9.2
wedm_f,rv,6,6.621874397146975,83.33333333333333,WEDM_F: finish wire EDM,Rv,6.621874397146975,6.6
wedm_f,rz,6,3.441488726944355,83.33333333333333,WEDM_F: finish wire EDM,Rz,3.441488726944355,3.4
wedm_f,rz1max,6,6.4748426072755105,83.33333333333333,WEDM_F: finish wire EDM,Rz1max,6.4748426072755105,6.5
wedm_r,ra,6,1.2360374102207805,100,WEDM_R: rough wire EDM,Ra,1.2360374102207805,1.2
wedm_r,rq,6,1.7632360134123402,100,WEDM_R: rough wire EDM,Rq,1.7632360134123402,1.8
wedm_r,rsm,6,99.89463198520065,0,WEDM_R: rough wire EDM,Rsm,99.89463198520065,100
wedm_r,rt,6,2.5920366071949057,83.33333333333333,WEDM_R: rough wire EDM,Rt,2.5920366071949057,2.6
wedm_r,rv,6,1.57247151934441,83.33333333333333,WEDM_R: rough wire EDM,Rv,1.57247151934441,1.6
wedm_r,rz,6,0.306713463553858,100,WEDM_R: rough wire EDM,Rz,0.306713463553858,0.3
wedm_r,rz1max,6,1.828579136216884,83.33333333333333,WEDM_R: rough wire EDM,Rz1max,1.828579136216884,1.8
