param,n_groups,median_holdout,q25_holdout,q75_holdout,good_n,mid_n,poor_n,median_excess_over_lowest,selected_system_mode,selected_color_mode,good_pct,mid_pct,poor_pct
all,413,32.7983290095981,13.051949524923,70.6076671123028,82,117,214,9.278008602816369,int,green,19.854721549636803,28.329297820823246,51.81598062953995
ra,59,21.100970864567,11.3892504096238,49.0868792560553,12,27,20,8.574327084194195,int,white,20.338983050847457,45.76271186440678,33.898305084745765
rq,59,19.5813081912544,10.8372036080596,65.39150879386091,13,22,24,9.901321879488698,int,red,22.033898305084747,37.28813559322034,40.67796610169491
rsm,59,99.9248950318814,99.89624971853615,99.9561360190182,0,0,59,0.016388204786295546,FV,blue,0,0,100
rt,59,36.9928251469557,16.27669298459725,58.570816695515504,9,15,35,21.90953341016112,int,green,15.254237288135593,25.423728813559322,59.32203389830509
rv,59,27.6796629280995,7.63389619678763,54.25831979524315,17,14,28,12.27672226957318,int,green,28.8135593220339,23.728813559322035,47.45762711864407
rz,59,20.4402601294026,7.190575210783004,54.042490699987496,19,17,23,8.95327416769957,int,green,32.20338983050848,28.8135593220339,38.983050847457626
rz1max,59,20.7953606617574,11.358910970524349,47.3156974627198,12,22,25,13.407952675373732,int,white,20.338983050847457,37.28813559322034,42.3728813559322
