"system","n","mean","sd","se"
"fusion",3,17.8230957367077,7.18724638879637,4.14955863730375
"conf",3,23.9098796734218,6.59397244542082,3.80703176639269
"FV",3,22.2490256798293,4.59401067335875,2.65235329892369
"int",4,20.0689098638229,4.34687939826688,2.17343969913344
