material,n_groups,good_n,mid_n,poor_n,median_best,q25_best,q75_best,best_system_mode,best_color_mode,good_pct,mid_pct,poor_pct
ellor,63,42,6,15,4.60955712473424,0.8899945993447325,19.7575238138307,int,green,66.66666666666667,9.523809523809524,23.80952380952381
c45,70,40,6,24,7.26705430152318,1.17312869915196,54.62358728115815,int,red,57.142857142857146,8.571428571428571,34.285714285714285
mo58a,70,38,13,19,8.24264194360008,3.43995272486547,33.072478807902876,int,blue,54.285714285714285,18.571428571428573,27.142857142857142
al7075,70,37,11,22,8.235701248336865,3.0493925698871176,41.04489487007473,int,red,52.857142857142854,15.714285714285714,31.428571428571427
14301,70,33,17,20,10.877584424669749,1.576378741133755,33.267000468163424,FV,green,47.142857142857146,24.285714285714285,28.571428571428573
ti6al4v,70,32,15,23,11.6799390565911,4.40229748918715,51.60077506968528,int,red,45.714285714285715,21.428571428571427,32.857142857142854
