"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_blue","FV_green","FV_red","int_blue","int_green","int_red"
"conf_blue",0,12.1918137128277,67.1061333832504,142.787616499243,122.290526946903,237.743540972741,56.6886417431703,398.543232475002,122.664770950827,122.736827343024,198.259544892352,381.231945318645,584.191730077409
"conf_green",12.1918137128277,0,79.2979470960781,154.979430212071,134.482340659731,249.935354685569,44.4968280303426,410.73504618783,110.472957238,110.545013630196,186.067731179524,369.040131605817,596.383543790237
"conf_red",67.1061333832504,79.2979470960781,0,75.6814831159928,55.1843935636528,170.637407589491,123.794775126421,331.437099091752,189.770904334078,189.842960726274,265.365678275602,448.338078701895,517.085596694159
"fusion_blue",142.787616499243,154.979430212071,75.6814831159928,0,20.49708955234,94.9559244734979,199.476258242413,255.755615975759,265.452387450071,265.524443842267,341.047161391595,524.019561817888,441.404113578166
"fusion_green",122.290526946903,134.482340659731,55.1843935636528,20.49708955234,0,115.453014025838,178.979168690073,276.252705528099,244.955297897731,245.027354289927,320.550071839255,503.522472265548,461.901203130506
"fusion_red",237.743540972741,249.935354685569,170.637407589491,94.9559244734979,115.453014025838,0,294.432182715911,160.799691502261,360.408311923569,360.480368315765,436.003085865093,618.975486291386,346.448189104668
"FV_blue",56.6886417431703,44.4968280303426,123.794775126421,199.476258242413,178.979168690073,294.432182715911,0,455.231874218172,65.9761292076572,66.0481855998538,141.570903149182,324.543303575474,640.88037182058
"FV_blue",398.543232475002,410.73504618783,331.437099091752,255.755615975759,276.252705528099,160.799691502261,455.231874218172,0,521.208003425829,521.280059818026,596.802777367354,779.775177793647,185.648497602407
"FV_green",122.664770950827,110.472957238,189.770904334078,265.452387450071,244.955297897731,360.408311923569,65.9761292076572,521.208003425829,0,0.0720563921965436,75.5947739415246,258.567174367817,706.856501028237
"FV_red",122.736827343024,110.545013630196,189.842960726274,265.524443842267,245.027354289927,360.480368315765,66.0481855998538,521.280059818026,0.0720563921965436,0,75.522717549328,258.495117975621,706.928557420433
"int_blue",198.259544892352,186.067731179524,265.365678275602,341.047161391595,320.550071839255,436.003085865093,141.570903149182,596.802777367354,75.5947739415246,75.522717549328,0,182.972400426293,782.451274969761
"int_green",381.231945318645,369.040131605817,448.338078701895,524.019561817888,503.522472265548,618.975486291386,324.543303575474,779.775177793647,258.567174367817,258.495117975621,182.972400426293,0,965.423675396054
"int_red",584.191730077409,596.383543790237,517.085596694159,441.404113578166,461.901203130506,346.448189104668,640.88037182058,185.648497602407,706.856501028237,706.928557420433,782.451274969761,965.423675396054,0
