"color","n","mean","sd","se"
"blue",4,176.453038090373,90.3995752127141,45.1997876063571
"green",4,211.558832857281,38.5120958169916,19.2560479084958
"red",4,229.569127489967,27.6124438735198,13.8062219367599
"white",1,225.263915304454,NA,NA
