"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,683.453591785951,227.81786392865,1.65757178482411,0.273642533750897
"color",3,402.216680768329,134.072226922776,0.975491283446191,0.464009425196584
"Residuals",6,824.644335820998,137.440722636833,NA,NA
