"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,5.45332465101735,8.80994686282503,6.97134874403243,15.228475584906,19.6724524161515,32.9397475351212,1.05012458025294,1.59246338420333,13.0863586185609,9.80007600381784,0.747284414458662,10.0978858406973
"conf_green",5.45332465101735,0,3.35662221180768,1.51802409301508,9.77515093388868,14.2191277651342,27.4864228841039,4.40320007076441,7.04578803522069,7.63303396754359,15.2534006548352,6.20060906547602,15.5512104917147
"conf_red",8.80994686282503,3.35662221180768,0,1.8385981187926,6.41852872208101,10.8625055533265,24.1298006722962,7.75982228257209,10.4024102470284,4.27641175573591,18.6100228666429,9.55723127728369,18.9078327035224
"fusion_blue",6.97134874403243,1.51802409301508,1.8385981187926,0,8.2571268408736,12.7011036721191,25.9683987910888,5.92122416377949,8.56381212823577,6.11500987452851,16.7714247478503,7.71863315849109,17.0692345847298
"fusion_green",15.228475584906,9.77515093388868,6.41852872208101,8.2571268408736,0,4.44397683124547,17.7112719502152,14.1783510046531,16.8209389691094,2.14211696634509,25.0285515887239,15.9757599993647,25.3263614256034
"fusion_red",19.6724524161515,14.2191277651342,10.8625055533265,12.7011036721191,4.44397683124547,0,13.2672951189697,18.6223278358986,21.2649158003548,6.58609379759056,29.4725284199693,20.4197368306102,29.7703382568489
"FV_blue",32.9397475351212,27.4864228841039,24.1298006722962,25.9683987910888,17.7112719502152,13.2672951189697,0,31.8896229548683,34.5322109193245,19.8533889165603,42.739823538939,33.6870319495799,43.0376333758186
"FV_green",1.05012458025294,4.40320007076441,7.75982228257209,5.92122416377949,14.1783510046531,18.6223278358986,31.8896229548683,0,2.64258796445628,12.036234038308,10.8502005840708,1.7974089947116,11.1480104209503
"FV_red",1.59246338420333,7.04578803522069,10.4024102470284,8.56381212823577,16.8209389691094,21.2649158003548,34.5322109193245,2.64258796445628,0,14.6788220027643,8.2076126196145,0.845178969744673,8.50542245649401
"int_blue",13.0863586185609,7.63303396754359,4.27641175573591,6.11500987452851,2.14211696634509,6.58609379759056,19.8533889165603,12.036234038308,14.6788220027643,0,22.8864346223788,13.8336430330196,23.1842444592583
"int_green",9.80007600381784,15.2534006548352,18.6100228666429,16.7714247478503,25.0285515887239,29.4725284199693,42.739823538939,10.8502005840708,8.2076126196145,22.8864346223788,0,9.05279158935917,0.297809836879509
"int_red",0.747284414458662,6.20060906547602,9.55723127728369,7.71863315849109,15.9757599993647,20.4197368306102,33.6870319495799,1.7974089947116,0.845178969744673,13.8336430330196,9.05279158935917,0,9.35060142623868
"int_white",10.0978858406973,15.5512104917147,18.9078327035224,17.0692345847298,25.3263614256034,29.7703382568489,43.0376333758186,11.1480104209503,8.50542245649401,23.1842444592583,0.297809836879509,9.35060142623868,0
