"color","n","mean","sd","se"
"blue",4,82.4971631823218,21.4461767103006,10.7230883551503
"green",4,64.2383900802398,33.8505411745871,16.9252705872935
"red",4,72.2171185556052,32.7686790112522,16.3843395056261
"white",1,23.9839933071305,NA,NA
