"color","n","mean","sd","se"
"blue",4,59.2139970415084,25.47812713356,12.73906356678
"green",4,40.7807428148695,7.3183068521229,3.65915342606145
"red",4,42.9575035250152,11.767338444497,5.88366922224851
"white",1,28.7351744296618,NA,NA
