"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,374593.201420311,124864.400473437,5.61473317567601,0.0354995384967042
"color",3,147831.658373946,49277.2194579821,2.2158312364993,0.187000251173337
"Residuals",6,133432.236118757,22238.7060197929,NA,NA
