"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_green","int_red","int_white"
"conf_blue",0,2.73327801537254,9.52378056208852,17.2568188867491,12.2277915420715,18.9928910816904,2.90373218203747,0.371131874207471,3.73174680991174,13.3412212419492,14.9380019379468,15.3659560864382
"conf_green",2.73327801537254,0,6.79050254671598,14.5235408713766,9.49451352669895,16.2596130663179,0.170454166664925,3.10440988958001,0.9984687945392,16.0744992573218,17.6712799533193,18.0992341018107
"conf_red",9.52378056208852,6.79050254671598,0,7.73303832466058,2.70401097998298,9.46911051960193,6.62004838005105,9.89491243629599,5.79203375217678,22.8650018040378,24.4617825000353,24.8897366485267
"fusion_blue",17.2568188867491,14.5235408713766,7.73303832466058,0,5.02902734467761,1.73607219494134,14.3530867047116,17.6279507609566,13.5250720768374,30.5980401286983,32.1948208246959,32.6227749731873
"fusion_green",12.2277915420715,9.49451352669895,2.70401097998298,5.02902734467761,0,6.76509953961895,9.32405936003403,12.598923416279,8.49604473215975,25.5690127840207,27.1657934800183,27.5937476285097
"fusion_red",18.9928910816904,16.2596130663179,9.46911051960193,1.73607219494134,6.76509953961895,0,16.089158899653,19.3640229558979,15.2611442717787,32.3341123236397,33.9308930196372,34.3588471681286
"FV_blue",2.90373218203747,0.170454166664925,6.62004838005105,14.3530867047116,9.32405936003403,16.089158899653,0,3.27486405624494,0.828014627874275,16.2449534239867,17.8417341199842,18.2696882684756
"FV_green",0.371131874207471,3.10440988958001,9.89491243629599,17.6279507609566,12.598923416279,19.3640229558979,3.27486405624494,0,4.10287868411921,12.9700893677418,14.5668700637393,14.9948242122307
"FV_red",3.73174680991174,0.9984687945392,5.79203375217678,13.5250720768374,8.49604473215975,15.2611442717787,0.828014627874275,4.10287868411921,0,17.072968051861,18.6697487478585,19.0977028963499
"int_green",13.3412212419492,16.0744992573218,22.8650018040378,30.5980401286983,25.5690127840207,32.3341123236397,16.2449534239867,12.9700893677418,17.072968051861,0,1.59678069599753,2.02473484448894
"int_red",14.9380019379468,17.6712799533193,24.4617825000353,32.1948208246959,27.1657934800183,33.9308930196372,17.8417341199842,14.5668700637393,18.6697487478585,1.59678069599753,0,0.427954148491409
"int_white",15.3659560864382,18.0992341018107,24.8897366485267,32.6227749731873,27.5937476285097,34.3588471681286,18.2696882684756,14.9948242122307,19.0977028963499,2.02473484448894,0.427954148491409,0
