"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,9988.18218195568,3329.39406065189,12.7653587489357,0.00515226039305154
"color",3,2198.32731724528,732.775772415093,2.80956397680831,0.130268170096922
"Residuals",6,1564.88859865195,260.814766441992,NA,NA
