"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,6455.58028043774,2151.86009347925,1.98669127983673,0.217494630366312
"color",3,583.291681624089,194.430560541363,0.179506790581699,0.906509843689696
"Residuals",6,6498.82580746845,1083.13763457807,NA,NA
