"system","n_points","slope_per_nm","slope_se","ci_low","ci_high","p_value"
"conf",3,0.197933371560534,0.0257777341257969,0.147409012673972,0.248457730447096,0.0824457637172808
"fusion",3,0.234906322907079,0.0248984536588478,0.186105353735738,0.283707292078421,0.0672263123613999
"FV",3,-0.178827406267984,0.175673911362637,-0.523148272538753,0.165493460002785,0.49433704712118
"int",3,-0.00589654368148713,0.0236294322842571,-0.052210230958631,0.0404171435956568,0.84431598925422
