"system","n_points","slope_per_nm","slope_se","ci_low","ci_high","p_value"
"conf",3,-4.51549303024416e-06,3.96507594176744e-06,-1.22870418761083e-05,3.25605581562003e-06,0.458739134076537
"fusion",3,-1.495646229649e-05,2.92677474191912e-06,-2.06929407906515e-05,-9.21998380232857e-06,0.12302317402865
"FV",3,1.15118606691902e-05,2.0307823781025e-05,-2.82914739416187e-05,5.13151952799991e-05,0.671694173881736
"int",3,2.7568684130809e-05,4.02435475333486e-05,-5.13086690345542e-05,0.000106446037296172,0.617634000014037
