"system","n_points","slope_per_nm","slope_se","ci_low","ci_high","p_value"
"conf",3,1.75190372828296e-05,7.18788008527945e-06,3.43079231568185e-06,3.16072822499773e-05,0.247864847927431
"fusion",3,2.62596896384874e-05,1.27452930774094e-05,1.27891520676486e-06,5.12404640702099e-05,0.287665415344281
"FV",3,3.46990612321206e-06,1.42961154276828e-05,-2.45504801150462e-05,3.14902923614703e-05,0.848413101217147
"int",3,0.000144562181838216,0.000122008212731525,-9.45739151155734e-05,0.000383698278792006,0.446264896377868
