"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,32238.2236039035,10746.0745346345,22.3063287894434,0.00118040870716248
"color",3,4166.78191105696,1388.92730368565,2.88308712179438,0.124904807161005
"Residuals",6,2890.50017223457,481.750028705761,NA,NA
