"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,726.182809854527,242.060936618176,4.73458464703438,0.0504779904691394
"color",3,439.883617816397,146.627872605466,2.86796409269542,0.125983910604649
"Residuals",6,306.756712147659,51.1261186912766,NA,NA
