"","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_green",0,6.44240972016005,5.48787192123611,9.46409336006023,17.1769113334335,9.4861882740689,13.9595760970636,11.4362696142033,3.60208846324182,12.4189481157595,12.465708092902,12.3692317377845
"conf_red",6.44240972016005,0,0.954537798923933,3.02168363990019,10.7345016132734,15.928597994229,20.4019858172237,17.8786793343633,10.0444981834019,18.8613578359196,18.908117813062,18.8116414579445
"fusion_blue",5.48787192123611,0.954537798923933,0,3.97622143882412,11.6890394121974,14.974060195305,19.4474480182997,16.9241415354394,9.08996038447794,17.9068200369956,17.9535800141381,17.8571036590206
"fusion_green",9.46409336006023,3.02168363990019,3.97622143882412,0,7.71281797337326,18.9502816341291,23.4236694571239,20.9003629742635,13.0661818233021,21.8830414758197,21.9298014529622,21.8333250978447
"fusion_red",17.1769113334335,10.7345016132734,11.6890394121974,7.71281797337326,0,26.6630996075024,31.1364874304971,28.6131809476368,20.7789997966753,29.595859449193,29.6426194263355,29.546143071218
"FV_blue",9.4861882740689,15.928597994229,14.974060195305,18.9502816341291,26.6630996075024,0,4.47338782299473,1.95008134013437,5.88409981082708,2.9327598416906,2.97951981883306,2.88304346371559
"FV_green",13.9595760970636,20.4019858172237,19.4474480182997,23.4236694571239,31.1364874304971,4.47338782299473,0,2.52330648286036,10.3574876338218,1.54062798130413,1.49386800416167,1.59034435927914
"FV_red",11.4362696142033,17.8786793343633,16.9241415354394,20.9003629742635,28.6131809476368,1.95008134013437,2.52330648286036,0,7.83418115096146,0.982678501556229,1.02943847869869,0.93296212358122
"int_blue",3.60208846324182,10.0444981834019,9.08996038447794,13.0661818233021,20.7789997966753,5.88409981082708,10.3574876338218,7.83418115096146,0,8.81685965251769,8.86361962966014,8.76714327454268
"int_green",12.4189481157595,18.8613578359196,17.9068200369956,21.8830414758197,29.595859449193,2.9327598416906,1.54062798130413,0.982678501556229,8.81685965251769,0,0.0467599771424574,0.0497163779750096
"int_red",12.465708092902,18.908117813062,17.9535800141381,21.9298014529622,29.6426194263355,2.97951981883306,1.49386800416167,1.02943847869869,8.86361962966014,0.0467599771424574,0,0.096476355117467
"int_white",12.3692317377845,18.8116414579445,17.8571036590206,21.8333250978447,29.546143071218,2.88304346371559,1.59034435927914,0.93296212358122,8.76714327454268,0.0497163779750096,0.096476355117467,0
