system,color,n_groups,coverage_pct,median_fixed,q25_fixed,q75_fixed,good_n,mid_n,poor_n,median_excess_over_lowest,q75_excess_over_lowest,good_pct,mid_pct,poor_pct,workflow
int,green,413,100,24.8214011781049,11.140832750516,66.8676462608355,93,122,198,7.24334136254081,18.854092310484702,22.5181598062954,29.53995157384988,47.94188861985472,"int, green"
int,white,406,98.30508474576271,24.9695165623606,10.7578397278365,66.73140010848076,92,125,189,7.954148689780414,20.285230990861603,22.660098522167488,30.788177339901477,46.55172413793103,"int, white"
int,red,413,100,31.4815087889724,12.082563783876,90.5129412238462,87,114,212,9.129245853281251,24.17363486937024,21.065375302663437,27.602905569007262,51.3317191283293,"int, red"
FV,green,413,100,35.3668218151127,14.9496107854245,86.6842316893602,67,114,232,13.695426893822736,29.30903335186384,16.222760290556902,27.602905569007262,56.17433414043583,"FV, green"
FV,blue,413,100,40.2084925381864,15.548145528707,99.9229030256173,66,112,235,11.453811195717101,39.062355126517396,15.980629539951574,27.11864406779661,56.90072639225182,"FV, blue"
int,blue,399,96.61016949152543,42.9526030971946,19.8590431000698,90.27350729842681,48,102,249,13.536379451312001,32.66146037016846,12.030075187969924,25.56390977443609,62.40601503759399,"int, blue"
conf,blue,378,91.52542372881356,46.5154065795033,18.226962382230276,99.89293175414933,62,80,236,17.804970482828608,41.5867918902409,16.402116402116402,21.164021164021165,62.43386243386244,"conf, blue"
FV,red,413,100,47.2391383413348,19.0295954620731,99.7495938736078,69,79,265,17.527424761141752,35.08891995806945,16.707021791767556,19.128329297820823,64.16464891041163,"FV, red"
conf,green,413,100,56.4086453399199,23.2826825280784,99.9486855828312,50,77,286,19.73906140011303,56.169773967484296,12.106537530266344,18.64406779661017,69.24939467312349,"conf, green"
conf,red,413,100,63.3094226723666,25.2617483592769,99.9833071329469,36,80,297,22.707523381083377,79.39393796871812,8.716707021791768,19.37046004842615,71.91283292978208,"conf, red"
fusion,blue,413,100,66.6151354846114,28.1926124280519,99.9893530969838,33,76,304,25.968398791088696,76.1141780964745,7.990314769975787,18.401937046004843,73.60774818401937,"fusion, blue"
fusion,green,413,100,80.3038152963356,32.1918221115162,128.484138192091,30,67,316,28.47933661912573,110.9338782978595,7.263922518159807,16.222760290556902,76.51331719128329,"fusion, green"
fusion,red,413,100,94.734106360777,38.1899117696983,157.386491244691,29,47,337,44.3105902623863,140.44335999798398,7.021791767554479,11.380145278450364,81.59806295399515,"fusion, red"
