"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_green","int_red","int_white"
"conf_blue",0,7.19522655628976,16.4574469978107,3.19115742703626,31.6688548971499,61.9412681449483,1.03041024438825,0.431001897338781,3.26433316500656,3.78680643260868,4.48997521989635,4.305366084227
"conf_green",7.19522655628976,0,9.26222044152092,4.0040691292535,24.4736283408602,54.7460415886585,8.225636800678,6.76422465895097,10.4595597212963,10.9820329888984,11.6852017761861,11.5005926405168
"conf_red",16.4574469978107,9.26222044152092,0,13.2662895707744,15.2114078993392,45.4838211471376,17.4878572421989,16.0264451004719,19.7217801628172,20.2442534304194,20.947422217707,20.7628130820377
"fusion_blue",3.19115742703626,4.0040691292535,13.2662895707744,0,28.4776974701137,58.750110717912,4.22156767142451,2.76015552969748,6.45549059204282,6.97796385964494,7.68113264693261,7.49652351126326
"fusion_green",31.6688548971499,24.4736283408602,15.2114078993392,28.4776974701137,0,30.2724132477983,32.6992651415382,31.2378529998111,34.9331880621565,35.4556613297586,36.1588301170463,35.9742209813769
"fusion_red",61.9412681449483,54.7460415886585,45.4838211471376,58.750110717912,30.2724132477983,0,62.9716783893365,61.5102662476095,65.2056013099548,65.728074577557,66.4312433648446,66.2466342291753
"FV_blue",1.03041024438825,8.225636800678,17.4878572421989,4.22156767142451,32.6992651415382,62.9716783893365,0,1.46141214172703,2.23392292061832,2.75639618822043,3.45956497550811,3.27495583983876
"FV_green",0.431001897338781,6.76422465895097,16.0264451004719,2.76015552969748,31.2378529998111,61.5102662476095,1.46141214172703,0,3.69533506234534,4.21780832994746,4.92097711723514,4.73636798156579
"FV_red",3.26433316500656,10.4595597212963,19.7217801628172,6.45549059204282,34.9331880621565,65.2056013099548,2.23392292061832,3.69533506234534,0,0.522473267602118,1.22564205488979,1.04103291922044
"int_green",3.78680643260868,10.9820329888984,20.2442534304194,6.97796385964494,35.4556613297586,65.728074577557,2.75639618822043,4.21780832994746,0.522473267602118,0,0.703168787287674,0.518559651618324
"int_red",4.48997521989635,11.6852017761861,20.947422217707,7.68113264693261,36.1588301170463,66.4312433648446,3.45956497550811,4.92097711723514,1.22564205488979,0.703168787287674,0,0.18460913566935
"int_white",4.305366084227,11.5005926405168,20.7628130820377,7.49652351126326,35.9742209813769,66.2466342291753,3.27495583983876,4.73636798156579,1.04103291922044,0.518559651618324,0.18460913566935,0
