"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_green","int_red","int_white"
"conf_blue",0,4.11302028627381,0.228418032150387,1.96950645594179,34.7911566442808,47.3812492404364,3.43040970600974,4.00508946652594,2.96384770401689,0.3826651034308,1.63995936856184,0.874400983984794
"conf_green",4.11302028627381,0,3.88460225412342,2.14351383033202,38.9041769305546,51.4942695267102,7.54342999228355,8.11810975279975,7.0768679902907,3.73035518284301,5.75297965483565,4.98742127025861
"conf_red",0.228418032150387,3.88460225412342,0,1.7410884237914,35.0195746764312,47.6096672725867,3.65882773816013,4.23350749867633,3.19226573616727,0.154247071280413,1.86837740071222,1.10281901613518
"fusion_blue",1.96950645594179,2.14351383033202,1.7410884237914,0,36.7606631002226,49.3507556963781,5.39991616195153,5.97459592246773,4.93335415995867,1.58684135251099,3.60946582450362,2.84390743992658
"fusion_green",34.7911566442808,38.9041769305546,35.0195746764312,36.7606631002226,0,12.5900925961555,31.3607469382711,30.7860671777549,31.8273089402639,35.1738217477116,33.151197275719,33.916755660296
"fusion_red",47.3812492404364,51.4942695267102,47.6096672725867,49.3507556963781,12.5900925961555,0,43.9508395344266,43.3761597739104,44.4174015364195,47.7639143438672,45.7412898718745,46.5068482564516
"FV_blue",3.43040970600974,7.54342999228355,3.65882773816013,5.39991616195153,31.3607469382711,43.9508395344266,0,0.5746797605162,0.466562001992856,3.81307480944054,1.79045033744791,2.55600872202495
"FV_green",4.00508946652594,8.11810975279975,4.23350749867633,5.97459592246773,30.7860671777549,43.3761597739104,0.5746797605162,0,1.04124176250906,4.38775456995674,2.36513009796411,3.13068848254115
"FV_red",2.96384770401689,7.0768679902907,3.19226573616727,4.93335415995867,31.8273089402639,44.4174015364195,0.466562001992856,1.04124176250906,0,3.34651280744769,1.32388833545505,2.08944672003209
"int_green",0.3826651034308,3.73035518284301,0.154247071280413,1.58684135251099,35.1738217477116,47.7639143438672,3.81307480944054,4.38775456995674,3.34651280744769,0,2.02262447199264,1.25706608741559
"int_red",1.63995936856184,5.75297965483565,1.86837740071222,3.60946582450362,33.151197275719,45.7412898718745,1.79045033744791,2.36513009796411,1.32388833545505,2.02262447199264,0,0.765558384577042
"int_white",0.874400983984794,4.98742127025861,1.10281901613518,2.84390743992658,33.916755660296,46.5068482564516,2.55600872202495,3.13068848254115,2.08944672003209,1.25706608741559,0.765558384577042,0
