param,material,process,system,color,n,median_abs_diff_pct,mean_abs_diff_pct,q25_abs_diff_pct,q75_abs_diff_pct,best_median_abs_diff_pct,excess_over_lowest_pct,fixed_category
ra,14301,b,FV,blue,1,344.293315015186,344.293315015186,344.293315015186,344.293315015186,11.140832750516,333.15248226467,>100\%
ra,14301,b,FV,green,1,125.835406540607,125.835406540607,125.835406540607,125.835406540607,11.140832750516,114.694573790091,>100\%
ra,14301,b,FV,red,1,158.782107216207,158.782107216207,158.782107216207,158.782107216207,11.140832750516,147.641274465691,>100\%
ra,14301,b,conf,blue,1,149.135238036735,149.135238036735,149.135238036735,149.135238036735,11.140832750516,137.99440528621898,>100\%
ra,14301,b,conf,green,1,148.504573846377,148.504573846377,148.504573846377,148.504573846377,11.140832750516,137.363741095861,>100\%
ra,14301,b,conf,red,1,198.28508617171,198.28508617171,198.28508617171,198.28508617171,11.140832750516,187.14425342119398,>100\%
ra,14301,b,fusion,blue,1,197.048818353357,197.048818353357,197.048818353357,197.048818353357,11.140832750516,185.907985602841,>100\%
ra,14301,b,fusion,green,1,192.416694772479,192.416694772479,192.416694772479,192.416694772479,11.140832750516,181.27586202196298,>100\%
ra,14301,b,fusion,red,1,253.637097142765,253.637097142765,253.637097142765,253.637097142765,11.140832750516,242.49626439224897,>100\%
ra,14301,b,int,blue,1,141.854425064477,141.854425064477,141.854425064477,141.854425064477,11.140832750516,130.713592313961,>100\%
ra,14301,b,int,green,1,11.140832750516,11.140832750516,11.140832750516,11.140832750516,11.140832750516,0,10--30\%
ra,14301,b,int,red,1,252.513834924244,252.513834924244,252.513834924244,252.513834924244,11.140832750516,241.373002173728,>100\%
ra,14301,b,int,white,1,17.8046093200529,17.8046093200529,17.8046093200529,17.8046093200529,11.140832750516,6.663776569536902,10--30\%
ra,14301,gla,FV,blue,1,6.12694688554963,6.12694688554963,6.12694688554963,6.12694688554963,0.791550096250212,5.335396789299418,<10\%
ra,14301,gla,FV,green,1,17.0875366489345,17.0875366489345,17.0875366489345,17.0875366489345,0.791550096250212,16.295986552684287,10--30\%
ra,14301,gla,FV,red,1,0.791550096250212,0.791550096250212,0.791550096250212,0.791550096250212,0.791550096250212,0,<10\%
ra,14301,gla,conf,blue,1,18.1464090754326,18.1464090754326,18.1464090754326,18.1464090754326,0.791550096250212,17.35485897918239,10--30\%
ra,14301,gla,conf,green,1,36.5405223841291,36.5405223841291,36.5405223841291,36.5405223841291,0.791550096250212,35.748972287878885,>30\%
ra,14301,gla,conf,red,1,53.4519158101584,53.4519158101584,53.4519158101584,53.4519158101584,0.791550096250212,52.660365713908185,>30\%
ra,14301,gla,fusion,blue,1,59.2761195619805,59.2761195619805,59.2761195619805,59.2761195619805,0.791550096250212,58.48456946573029,>30\%
ra,14301,gla,fusion,green,1,70.7748628230854,70.7748628230854,70.7748628230854,70.7748628230854,0.791550096250212,69.9833127268352,>30\%
ra,14301,gla,fusion,red,1,88.9102724165356,88.9102724165356,88.9102724165356,88.9102724165356,0.791550096250212,88.1187223202854,>30\%
