"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,5338.26131456325,1779.42043818775,2.84296215871665,0.127795004935771
"color",3,1090.70100065568,363.56700021856,0.580867343994413,0.648885601132283
"Residuals",6,3755.42199757806,625.90366626301,NA,NA
